level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1111	143	-1	
2	1	1	0	0	0	49	33	953	31	-1	
3	1	1	1	0	0	49	33	953	31	-1	
4	1	1	1	1	0	49	33	953	31	-1	
5	1	1	1	1	1	49	38	44	20	90.938629	Chỉ
5	1	1	1	1	2	102	33	44	25	26.734772	cần
5	1	1	1	1	3	158	38	45	26	93.158333	bạn
5	1	1	1	1	4	215	38	79	25	92.003563	không
5	1	1	1	1	5	305	38	68	25	86.253685	dừng
5	1	1	1	1	6	385	38	27	26	92.423668	lại
5	1	1	1	1	7	422	38	32	20	93.151649	thì
5	1	1	1	1	8	464	38	52	26	92.930153	việc
5	1	1	1	1	9	527	38	45	26	93.305351	bạn
5	1	1	1	1	10	582	33	47	25	50.639008	tiến
5	1	1	1	1	11	640	38	70	26	92.381508	chậm
5	1	1	1	1	12	721	39	63	24	93.008202	cũng
5	1	1	1	1	13	796	38	79	25	93.177452	không
5	1	1	1	1	14	887	38	20	20	93.275711	là
5	1	1	1	1	15	916	33	45	25	90.972870	vấn
5	1	1	1	1	16	972	33	30	25	93.290794	đề
